[init] dropping graph 'bench2_b7_noisy_2m'
[init] creating composite index :entity(uuid_hi, uuid_lo)
[init]   hub/star 940/2700 batches (470,000 edges)
[init]   hub/star 945/2700 batches (472,500 edges)
[init]   hub/star 950/2700 batches (475,000 edges)
[init]   hub/star 955/2700 batches (477,500 edges)
[init]   hub/star 960/2700 batches (480,000 edges)
[init]   hub/star 965/2700 batches (482,500 edges)
[init]   hub/star 970/2700 batches (485,000 edges)
[init]   hub/star 975/2700 batches (487,500 edges)
[init]   hub/star 980/2700 batches (490,000 edges)
[init]   hub/star 985/2700 batches (492,500 edges)
[init]   hub/star 990/2700 batches (495,000 edges)
[init]   hub/star 995/2700 batches (497,500 edges)
[init]   hub/star 1000/2700 batches (500,000 edges)
[init]   hub/star 1005/2700 batches (502,500 edges)
[init]   hub/star 1010/2700 batches (505,000 edges)
[init]   hub/star 1015/2700 batches (507,500 edges)
[init]   hub/star 1020/2700 batches (510,000 edges)
[init]   hub/star 1025/2700 batches (512,500 edges)
[init]   hub/star 1030/2700 batches (515,000 edges)
[init]   hub/star 1035/2700 batches (517,500 edges)
[init]   hub/star 1040/2700 batches (520,000 edges)
[init]   hub/star 1045/2700 batches (522,500 edges)
[init]   hub/star 1050/2700 batches (525,000 edges)
[init]   hub/star 1055/2700 batches (527,500 edges)
[init]   hub/star 1060/2700 batches (530,000 edges)
[init]   hub/star 1065/2700 batches (532,500 edges)
[init]   hub/star 1070/2700 batches (535,000 edges)
[init]   hub/star 1075/2700 batches (537,500 edges)
[init]   hub/star 1080/2700 batches (540,000 edges)
[init]   hub/star 1085/2700 batches (542,500 edges)
[init]   hub/star 1090/2700 batches (545,000 edges)
[init]   hub/star 1095/2700 batches (547,500 edges)
[init]   hub/star 1100/2700 batches (550,000 edges)
[init]   hub/star 1105/2700 batches (552,500 edges)
[init]   hub/star 1110/2700 batches (555,000 edges)
[init]   hub/star 1115/2700 batches (557,500 edges)
[init]   hub/star 1120/2700 batches (560,000 edges)
[init]   hub/star 1125/2700 batches (562,500 edges)
[init]   hub/star 1130/2700 batches (565,000 edges)
[init]   hub/star 1135/2700 batches (567,500 edges)
[init]   hub/star 1140/2700 batches (570,000 edges)
[init]   hub/star 1145/2700 batches (572,500 edges)
[init]   hub/star 1150/2700 batches (575,000 edges)
[init]   hub/star 1155/2700 batches (577,500 edges)
[init]   hub/star 1160/2700 batches (580,000 edges)
[init]   hub/star 1165/2700 batches (582,500 edges)
[init]   hub/star 1170/2700 batches (585,000 edges)
[init]   hub/star 1175/2700 batches (587,500 edges)
[init]   hub/star 1180/2700 batches (590,000 edges)
[init]   hub/star 1185/2700 batches (592,500 edges)
[init]   hub/star 1190/2700 batches (595,000 edges)
[init]   hub/star 1195/2700 batches (597,500 edges)
[init]   hub/star 1200/2700 batches (600,000 edges)
[init]   hub/star 1205/2700 batches (602,500 edges)
[init]   hub/star 1210/2700 batches (605,000 edges)
[init]   hub/star 1215/2700 batches (607,500 edges)
[init]   hub/star 1220/2700 batches (610,000 edges)
[init]   hub/star 1225/2700 batches (612,500 edges)
[init]   hub/star 1230/2700 batches (615,000 edges)
[init]   hub/star 1235/2700 batches (617,500 edges)
[init]   hub/star 1240/2700 batches (620,000 edges)
[init]   hub/star 1245/2700 batches (622,500 edges)
[init]   hub/star 1250/2700 batches (625,000 edges)
[init]   hub/star 1255/2700 batches (627,500 edges)
[init]   hub/star 1260/2700 batches (630,000 edges)
[init]   hub/star 1265/2700 batches (632,500 edges)
[init]   hub/star 1270/2700 batches (635,000 edges)
[init]   hub/star 1275/2700 batches (637,500 edges)
[init]   hub/star 1280/2700 batches (640,000 edges)
[init]   hub/star 1285/2700 batches (642,500 edges)
[init]   hub/star 1290/2700 batches (645,000 edges)
[init]   hub/star 1295/2700 batches (647,500 edges)
[init]   hub/star 1300/2700 batches (650,000 edges)
[init]   hub/star 1305/2700 batches (652,500 edges)
[init]   hub/star 1310/2700 batches (655,000 edges)
[init]   hub/star 1315/2700 batches (657,500 edges)
[init]   hub/star 1320/2700 batches (660,000 edges)
[init]   hub/star 1325/2700 batches (662,500 edges)
[init]   hub/star 1330/2700 batches (665,000 edges)
[init]   hub/star 1335/2700 batches (667,500 edges)
[init]   hub/star 1340/2700 batches (670,000 edges)
[init]   hub/star 1345/2700 batches (672,500 edges)
[init]   hub/star 1350/2700 batches (675,000 edges)
[init]   hub/star 1355/2700 batches (677,500 edges)
[init]   hub/star 1360/2700 batches (680,000 edges)
[init]   hub/star 1365/2700 batches (682,500 edges)
[init]   hub/star 1370/2700 batches (685,000 edges)
[init]   hub/star 1375/2700 batches (687,500 edges)
[init]   hub/star 1380/2700 batches (690,000 edges)
[init]   hub/star 1385/2700 batches (692,500 edges)
[init]   hub/star 1390/2700 batches (695,000 edges)
[init]   hub/star 1395/2700 batches (697,500 edges)
[init]   hub/star 1400/2700 batches (700,000 edges)
[init]   hub/star 1405/2700 batches (702,500 edges)
[init]   hub/star 1410/2700 batches (705,000 edges)
[init]   hub/star 1415/2700 batches (707,500 edges)
[init]   hub/star 1420/2700 batches (710,000 edges)
[init]   hub/star 1425/2700 batches (712,500 edges)
[init]   hub/star 1430/2700 batches (715,000 edges)
[init]   hub/star 1435/2700 batches (717,500 edges)
[init]   hub/star 1440/2700 batches (720,000 edges)
[init]   hub/star 1445/2700 batches (722,500 edges)
[init]   hub/star 1450/2700 batches (725,000 edges)
[init]   hub/star 1455/2700 batches (727,500 edges)
[init]   hub/star 1460/2700 batches (730,000 edges)
